,33A,51A,57A,37A,129A,130A,38A,55A,44A,48A,46A,52A,53A,34A,35A,49A,50A,30A,31A,32A,54A,36A,41A,136A,137A,138A,137B,136B,43A,45A,42A,39A,40A,131A
juh,8.0,9.0,4.0,1.0,2.0,2.0,1.0,1.0,2.0,2,,1.0,,6.0,5,1.0,1.0,5.0,3.0,3.0,,,3.0,1.0,1.0,2.0,1.0,2.0,5.0,1.0,,5,1,
grk,2.0,1.0,4.0,1.0,2.0,2.0,2.0,,3.0,2,1.0,1.0,7.0,6.0,5,3.0,6.0,3.0,2.0,3.0,5.0,4.0,3.0,2.0,1.0,1.0,1.0,2.0,,2.0,1.0,3,3,1.0
yaq,2.0,1.0,4.0,4.0,,,1.0,,6.0,2,1.0,2.0,4.0,6.0,4,2.0,2.0,1.0,1.0,1.0,,2.0,,1.0,2.0,,2.0,1.0,1.0,1.0,,3,1,2.0
mnd,2.0,9.0,4.0,,2.0,2.0,,3.0,3.0,2,4.0,2.0,4.0,2.0,8,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,6.0,2.0,1.0,5,1,1.0
cmn,2.0,1.0,4.0,2.0,2.0,2.0,4.0,,6.0,2,1.0,2.0,,3.0,7,3.0,4.0,1.0,1.0,1.0,2.0,1.0,3.0,,,,,,,1.0,1.0,5,1,1.0
bag,8.0,9.0,2.0,1.0,,,4.0,,6.0,3,2.0,2.0,,6.0,6,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,,1.0,2.0,1.0,1.0,,3,1,1.0
rap,7.0,9.0,,1.0,2.0,2.0,2.0,1.0,6.0,2,,2.0,6.0,4.0,5,1.0,1.0,1.0,1.0,1.0,,3.0,3.0,1.0,1.0,,1.0,1.0,3.0,1.0,1.0,5,1,1.0
wch,2.0,9.0,1.0,1.0,2.0,2.0,4.0,,6.0,1,,2.0,,,8,1.0,1.0,,,,,1.0,,1.0,2.0,,2.0,1.0,,1.0,,3,2,6.0
squ,,7.0,3.0,1.0,1.0,2.0,1.0,,6.0,1,1.0,,7.0,,4,2.0,6.0,,,,,,,1.0,1.0,,1.0,1.0,,,,3,3,
hix,7.0,9.0,1.0,5.0,,,5.0,1.0,2.0,3,,2.0,1.0,2.0,4,1.0,1.0,2.0,3.0,2.0,1.0,1.0,3.0,1.0,1.0,,2.0,1.0,2.0,1.0,1.0,5,5,6.0
zul,1.0,2.0,,5.0,2.0,2.0,5.0,1.0,2.0,2,,,6.0,6.0,4,1.0,1.0,5.0,3.0,3.0,,1.0,,1.0,1.0,3.0,1.0,2.0,5.0,1.0,,3,3,1.0
qim,2.0,1.0,4.0,5.0,,,5.0,1.0,6.0,2,1.0,1.0,5.0,6.0,4,7.0,2.0,1.0,1.0,1.0,,4.0,,1.0,1.0,,1.0,1.0,6.0,2.0,,3,3,1.0
nen,2.0,1.0,2.0,,,,,1.0,6.0,3,1.0,3.0,7.0,,8,6.0,4.0,1.0,1.0,1.0,4.0,,,2.0,1.0,,1.0,2.0,,,,3,3,1.0
vie,7.0,9.0,4.0,1.0,,,,3.0,6.0,2,1.0,,8.0,4.0,7,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,4.0,,2,1,1.0
geo,2.0,1.0,4.0,,1.0,2.0,,1.0,6.0,2,1.0,3.0,6.0,6.0,5,6.0,4.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,3.0,3,2,2.0
kfe,2.0,9.0,4.0,1.0,1.0,2.0,4.0,1.0,2.0,3,2.0,,,6.0,3,1.0,1.0,3.0,3.0,2.0,,,1.0,,,,,,1.0,2.0,1.0,3,1,1.0
myi,2.0,5.0,2.0,1.0,2.0,2.0,,1.0,6.0,1,1.0,2.0,1.0,,6,7.0,5.0,3.0,2.0,2.0,,2.0,,1.0,1.0,,1.0,1.0,2.0,1.0,,5,5,6.0
dag,,1.0,2.0,5.0,,,5.0,,6.0,2,,,,,4,9.0,3.0,1.0,1.0,1.0,,,,1.0,1.0,,1.0,1.0,,1.0,,3,2,3.0
