,33A,51A,57A,37A,129A,130A,38A,55A,44A,48A,46A,52A,53A,34A,35A,49A,50A,30A,31A,32A,54A,36A,41A,136A,137A,138A,137B,136B,43A,45A,42A,39A,40A,131A
mxc,7.0,9.0,4.0,5.0,,,5.0,1.0,6.0,3,,,1.0,4.0,8,1.0,1.0,5.0,2.0,2.0,,4.0,2.0,1.0,1.0,,1.0,1.0,1.0,2.0,,4,4,2.0
kio,2.0,1.0,1.0,5.0,1.0,2.0,5.0,1.0,6.0,1,1.0,,,,2,9.0,2.0,,,,,,2.0,1.0,2.0,,2.0,1.0,,1.0,1.0,2,5,
prs,2.0,9.0,4.0,4.0,,,,2.0,3.0,3,2.0,1.0,5.0,,4,2.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,6.0,2.0,3.0,3,3,1.0
pai,,9.0,,,,,,,6.0,2,,2.0,4.0,,4,1.0,3.0,1.0,1.0,1.0,,,2.0,1.0,1.0,,1.0,1.0,,1.0,1.0,5,1,1.0
bur,2.0,1.0,1.0,2.0,2.0,2.0,,1.0,3.0,3,1.0,2.0,6.0,6.0,4,7.0,3.0,4.0,2.0,2.0,2.0,,2.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,3.0,3,3,2.0
mal,9.0,7.0,4.0,1.0,2.0,2.0,4.0,1.0,6.0,3,2.0,,6.0,,4,1.0,3.0,1.0,1.0,1.0,6.0,1.0,5.0,1.0,1.0,2.0,1.0,1.0,,1.0,1.0,5,1,1.0
fre,2.0,7.0,4.0,1.0,2.0,2.0,2.0,1.0,3.0,2,2.0,1.0,7.0,6.0,6,1.0,1.0,2.0,2.0,3.0,1.0,4.0,1.0,2.0,1.0,2.0,1.0,2.0,5.0,2.0,2.0,3,3,1.0
tiw,2.0,9.0,4.0,5.0,2.0,,5.0,1.0,3.0,2,1.0,,1.0,3.0,4,1.0,1.0,2.0,2.0,2.0,4.0,,2.0,1.0,1.0,3.0,1.0,1.0,,1.0,1.0,5,5,
kew,2.0,6.0,4.0,5.0,2.0,2.0,5.0,1.0,6.0,2,,,8.0,,4,6.0,2.0,1.0,1.0,1.0,,,,1.0,1.0,,1.0,1.0,1.0,1.0,,3,3,
aco,2.0,,1.0,5.0,,,5.0,1.0,,2,1.0,2.0,5.0,4.0,1,1.0,1.0,1.0,1.0,1.0,,4.0,3.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1,2,1.0
