,69A,70A,71A,77A,78A,72A,73A,75A,74A,65A,66A,67A,68A,76A,79A,80A,79B
ewe,,5.0,2.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0,4.0,1.0,4.0,2.0,1.0,1.0,5.0
yko,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,4.0,1.0,4.0,3.0,4.0,1.0,5.0
kro,4.0,1.0,4.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,4.0,2.0,3.0,,4.0,3.0,3.0
hau,5.0,2.0,4.0,1.0,1.0,3.0,2.0,1.0,2.0,2.0,4.0,2.0,4.0,2.0,4.0,1.0,5.0
arm,2.0,1.0,2.0,,,4.0,2.0,3.0,2.0,1.0,1.0,2.0,3.0,2.0,3.0,1.0,2.0
ngi,2.0,4.0,4.0,3.0,2.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0,4.0,2.0,4.0,1.0,5.0
mrt,2.0,4.0,3.0,2.0,2.0,4.0,2.0,3.0,,2.0,1.0,1.0,4.0,,4.0,1.0,5.0
map,2.0,1.0,4.0,1.0,1.0,4.0,2.0,2.0,2.0,2.0,4.0,1.0,4.0,2.0,4.0,1.0,5.0
san,5.0,5.0,1.0,1.0,1.0,3.0,,3.0,2.0,2.0,4.0,2.0,4.0,2.0,4.0,1.0,5.0
grb,2.0,2.0,4.0,1.0,1.0,2.0,2.0,1.0,,1.0,2.0,1.0,3.0,,4.0,1.0,5.0
asm,2.0,4.0,,2.0,2.0,4.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,3.0,4.0,1.0,5.0
yag,2.0,5.0,1.0,1.0,1.0,,2.0,2.0,,1.0,3.0,2.0,4.0,,4.0,1.0,5.0
luv,1.0,1.0,4.0,1.0,1.0,1.0,2.0,3.0,,2.0,2.0,1.0,3.0,,4.0,1.0,2.0
snm,5.0,5.0,2.0,3.0,6.0,4.0,2.0,3.0,2.0,2.0,2.0,2.0,4.0,3.0,4.0,1.0,5.0
spa,2.0,1.0,3.0,1.0,1.0,4.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0
fin,2.0,1.0,2.0,2.0,5.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,3.0,1.0,4.0,1.0,2.0
mxc,1.0,4.0,2.0,1.0,1.0,4.0,2.0,2.0,2.0,1.0,4.0,1.0,4.0,3.0,2.0,1.0,2.0
kio,2.0,1.0,4.0,2.0,2.0,4.0,2.0,2.0,1.0,1.0,4.0,1.0,4.0,2.0,4.0,2.0,5.0
prs,4.0,2.0,1.0,3.0,3.0,2.0,2.0,3.0,2.0,1.0,1.0,2.0,4.0,2.0,3.0,1.0,5.0
pai,4.0,4.0,4.0,2.0,2.0,4.0,2.0,2.0,1.0,2.0,4.0,2.0,3.0,3.0,,,
bur,2.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,,1.0,1.0,1.0,3.0,,3.0,2.0,5.0
mal,1.0,4.0,4.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,4.0,2.0,4.0,3.0,4.0,1.0,5.0
fre,2.0,2.0,1.0,2.0,5.0,4.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,5.0
tiw,1.0,1.0,4.0,1.0,1.0,4.0,2.0,2.0,,2.0,1.0,1.0,4.0,,4.0,1.0,5.0
kew,2.0,1.0,1.0,3.0,2.0,4.0,2.0,3.0,,2.0,2.0,1.0,3.0,,1.0,1.0,5.0
