,83A,82A,81A,87A,143F,143E,143A,143G,97A,86A,88A,144A,85A,89A,95A,93A,92A,96A,90A,94A,90C,144B,144L,84A,144S,91A,144D,144J,144K,144I,144H,144R,144P,144Q,90B
ewe,2,1,2.0,2.0,1.0,1.0,14.0,4.0,4.0,1.0,2.0,18.0,1.0,2.0,3.0,2.0,2.0,4.0,1.0,1.0,1.0,,,,,,14.0,7.0,3.0,5.0,4.0,,,,
yko,1,1,1.0,1.0,4.0,2.0,3.0,4.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,2.0,6.0,1.0,2.0,2.0,,,5.0,,11.0,,,,,,,2.0,4.0,4.0,1.0
kro,2,2,3.0,2.0,1.0,1.0,14.0,4.0,4.0,2.0,2.0,18.0,,2.0,,2.0,6.0,4.0,1.0,1.0,1.0,,,1.0,,3.0,,,,,,,,,
hau,2,1,2.0,1.0,1.0,1.0,15.0,4.0,3.0,2.0,6.0,19.0,2.0,2.0,4.0,3.0,2.0,4.0,1.0,1.0,1.0,3.0,,1.0,,2.0,15.0,7.0,3.0,3.0,4.0,,,,
arm,3,1,7.0,1.0,4.0,3.0,7.0,4.0,5.0,1.0,1.0,16.0,1.0,1.0,5.0,2.0,6.0,5.0,7.0,1.0,2.0,,15.0,6.0,11.0,1.0,13.0,7.0,4.0,1.0,4.0,7.0,4.0,4.0,2.0
ngi,1,1,,3.0,4.0,1.0,1.0,4.0,5.0,1.0,1.0,21.0,5.0,,,1.0,3.0,5.0,7.0,,,1.0,23.0,6.0,,,,,,,,,,,
mrt,2,1,2.0,2.0,4.0,1.0,1.0,4.0,4.0,3.0,1.0,2.0,5.0,1.0,,1.0,6.0,5.0,5.0,,,3.0,,1.0,,,2.0,7.0,4.0,1.0,4.0,,,,
map,2,2,2.0,1.0,2.0,4.0,4.0,4.0,3.0,1.0,1.0,20.0,4.0,1.0,5.0,2.0,,,,,,,,6.0,,1.0,6.0,2.0,4.0,8.0,4.0,,,,
san,2,1,2.0,1.0,1.0,4.0,2.0,4.0,3.0,2.0,2.0,4.0,2.0,2.0,4.0,2.0,2.0,4.0,1.0,1.0,1.0,6.0,,1.0,,2.0,4.0,7.0,1.0,8.0,4.0,,,,
grb,2,1,2.0,2.0,4.0,1.0,1.0,4.0,4.0,1.0,2.0,6.0,1.0,2.0,3.0,1.0,1.0,4.0,1.0,,1.0,2.0,7.0,1.0,11.0,,,,,,,8.0,4.0,1.0,
asm,1,1,1.0,2.0,1.0,4.0,2.0,4.0,2.0,1.0,1.0,8.0,5.0,2.0,,2.0,2.0,1.0,2.0,2.0,,4.0,4.0,,1.0,2.0,,,,,,8.0,4.0,4.0,1.0
yag,2,2,7.0,2.0,4.0,1.0,1.0,4.0,4.0,1.0,1.0,21.0,1.0,1.0,3.0,1.0,3.0,4.0,1.0,5.0,1.0,3.0,,,,1.0,,,,,,,,,
luv,2,1,2.0,2.0,1.0,3.0,14.0,4.0,4.0,2.0,2.0,18.0,2.0,2.0,4.0,2.0,,4.0,1.0,1.0,1.0,6.0,,1.0,,,14.0,7.0,2.0,5.0,4.0,,,,
snm,1,1,1.0,2.0,1.0,4.0,2.0,4.0,2.0,1.0,1.0,8.0,1.0,,1.0,2.0,6.0,5.0,7.0,2.0,,4.0,4.0,3.0,1.0,2.0,,,,,,8.0,4.0,4.0,
