,1A,33A,19A,88A,83A,97A,11A,26A,69A,12A,82A,143F,6A,85A,143G,13A,144A,51A,86A,81A,2A,4A,95A,143A,143E,87A,5A,7A,18A,8A,3A
kho,4,2,2,1,1,1,1,2,5,2,1,1,1,1,4,3,8,9,1,1,2,1,1,2,4,1,1,1,1,1,4
hin,5,2,1,1,1,1,1,2,2,3,1,4,1,1,4,1,7,1,1,1,2,4,1,1,1,1,2,1,1,2,4
pae,5,2,1,1,1,2,1,2,2,3,1,2,1,1,4,1,20,6,1,1,1,1,1,4,4,2,1,1,1,2,5
knm,3,8,1,2,1,2,1,3,2,2,1,2,1,1,4,2,20,6,1,1,2,2,1,4,4,2,3,1,1,2,3
ksg,4,7,5,2,2,4,1,1,5,2,1,1,1,2,4,3,18,9,1,2,3,3,4,14,1,2,1,3,1,2,3
mau,2,7,1,1,2,3,1,5,2,3,1,4,1,2,4,1,2,9,1,2,2,1,4,1,1,1,1,1,1,2,3
ter,5,8,1,2,2,4,1,2,5,2,1,1,1,2,4,3,19,9,2,2,2,4,4,15,1,2,2,3,1,4,5
ykt,3,2,1,1,1,1,2,2,2,3,1,2,1,1,4,1,20,1,1,1,3,4,1,4,4,1,2,1,1,3,2
cle,3,7,1,2,2,4,1,1,4,2,2,4,1,2,4,3,12,9,2,4,2,2,4,1,1,2,2,1,1,2,3
kew,2,2,1,1,1,1,1,2,2,1,1,4,1,1,4,2,20,6,1,1,2,1,1,3,2,1,1,1,1,3,3
kyl,3,9,1,2,2,4,1,1,5,2,1,1,1,4,4,3,4,9,1,2,3,2,5,2,4,2,4,1,1,2,1
nyi,2,9,1,2,1,2,1,2,2,2,1,4,1,1,4,3,7,1,1,1,3,2,1,1,1,2,3,1,1,2,2
mum,3,7,3,2,2,4,1,1,3,2,1,1,1,2,4,3,19,9,3,2,2,4,4,15,1,2,2,3,1,2,3
khm,3,7,1,2,2,4,1,1,5,3,1,4,1,2,4,1,2,9,2,2,3,1,4,1,1,2,1,3,1,3,2
ewo,4,1,3,2,2,4,1,6,1,2,1,1,1,2,1,3,19,9,2,2,3,4,4,15,1,2,3,1,1,2,3
ton,2,2,1,4,1,2,1,3,2,2,1,2,1,1,4,1,20,6,1,7,2,1,1,4,4,2,1,1,1,2,3
hop,3,2,1,1,1,1,4,2,2,3,1,4,2,1,4,2,7,1,1,1,2,1,1,1,1,1,1,1,1,1,3
kkv,2,1,1,2,2,4,1,5,1,2,1,1,1,2,4,1,4,9,1,2,2,1,4,2,4,2,1,1,1,2,3
tam,3,7,1,1,1,1,1,2,2,2,1,4,1,1,4,2,7,6,1,1,2,1,1,1,1,1,1,1,1,2,3
may,1,9,1,2,2,4,1,6,5,1,1,1,1,2,4,1,4,2,3,2,2,1,4,2,4,2,1,1,1,1,2
shk,2,2,1,1,1,5,1,2,2,2,1,2,1,1,4,1,20,6,1,1,1,1,1,4,4,3,1,1,1,1,3
new,3,8,1,1,1,1,1,2,2,2,1,4,1,1,4,1,20,1,1,1,1,2,1,3,2,1,2,1,1,2,4
baw,3,7,1,2,1,2,1,1,5,2,1,1,1,1,4,2,8,9,1,1,2,4,1,2,4,2,4,1,1,2,4
ung,2,5,1,2,1,2,1,1,5,2,1,4,1,1,4,1,13,6,3,5,2,1,1,1,1,2,1,1,3,2,3
lat,4,2,1,1,2,3,1,3,4,3,3,4,1,2,4,2,20,1,1,2,2,4,4,3,2,1,2,1,1,2,3
ava,5,2,4,1,1,1,1,2,2,3,1,1,4,1,4,1,8,1,1,1,2,4,1,2,4,1,1,2,1,4,5
iba,3,9,1,2,2,4,1,1,5,2,1,4,1,2,4,1,21,9,2,2,2,2,4,1,1,2,2,1,1,2,3
ttn,1,7,1,2,2,4,1,1,5,3,1,4,1,2,4,1,2,9,1,2,2,2,4,1,1,2,4,1,1,2,2
krd,4,2,4,6,1,2,1,3,4,3,1,4,2,2,4,1,20,9,2,1,3,4,2,3,2,2,2,1,1,2,3
hai,5,2,1,1,1,2,1,2,2,3,1,2,4,1,4,1,18,6,1,1,1,1,1,14,1,2,1,6,1,4,5
yul,5,8,3,2,2,4,1,4,4,2,1,1,1,2,4,3,3,9,2,2,3,4,4,2,4,2,2,3,1,2,4
apu,1,2,1,1,3,5,1,4,2,1,1,4,1,1,4,1,16,6,1,2,2,1,5,1,1,2,1,1,1,1,3
lez,5,2,1,1,1,1,3,2,2,3,1,2,4,1,4,1,20,1,1,1,2,4,1,4,4,1,2,2,1,2,5
grw,3,2,1,6,1,2,1,2,2,2,1,2,4,1,4,1,20,1,1,1,1,3,1,4,4,2,1,1,1,4,4
cnt,3,9,1,1,2,3,2,1,2,2,1,4,1,4,4,3,2,9,1,2,3,1,5,1,1,1,1,1,1,2,2
epe,2,8,1,1,1,2,1,2,2,2,1,2,1,1,4,1,20,6,1,1,3,2,1,4,4,2,2,1,4,1,2
ik,4,2,1,4,2,4,1,2,2,3,2,4,1,2,4,2,9,1,3,3,3,4,4,1,1,2,2,5,1,2,3
ood,3,1,1,1,2,3,1,4,2,3,2,4,1,4,4,1,21,9,3,7,2,2,5,1,1,1,2,1,1,3,3
yko,3,2,1,1,1,1,4,2,2,2,1,4,4,1,4,1,20,1,1,1,2,2,1,3,2,1,2,1,1,2,3
mrl,3,2,5,2,2,4,1,3,4,2,2,4,1,4,4,2,9,1,2,3,3,2,5,1,1,2,2,3,1,2,2
yor,2,7,3,2,2,4,1,1,5,1,1,4,1,2,4,3,2,9,2,2,3,2,4,1,1,2,3,1,1,2,2
yaq,2,2,1,1,1,1,1,2,2,2,1,4,1,1,4,2,6,1,1,1,2,2,1,1,1,1,1,1,1,2,3
kch,2,7,1,2,2,4,1,1,5,2,1,4,1,1,4,1,2,9,1,2,2,2,3,1,1,2,3,1,1,2,3
prs,3,2,1,1,1,2,1,3,4,3,1,4,2,2,4,1,20,9,2,1,2,4,2,3,2,2,2,1,1,2,3
mnd,3,2,1,1,2,3,3,2,2,2,1,4,1,4,4,3,2,9,1,2,2,3,5,1,1,1,1,1,1,2,3
yag,1,2,1,1,2,4,1,2,2,2,2,4,1,1,4,2,21,1,1,7,2,1,3,1,1,2,1,1,3,1,1
non,3,1,1,2,2,4,1,4,2,3,1,1,1,4,4,3,18,2,2,2,3,2,5,16,1,2,3,1,1,2,2
cmn,1,2,1,1,1,1,1,2,2,2,1,4,1,1,4,1,16,1,1,1,2,1,1,1,1,1,1,1,1,1,1
bai,2,7,1,2,2,3,1,1,5,2,1,4,1,4,4,3,2,9,1,2,3,3,5,1,1,1,1,1,1,2,1
